number,name,address,bike_stands,available_bike_stands,available_bikes,latitude,longitude,last_update,status,ligne_tc
1011,01011 - BORNE TEST NANTES 1,Borne test 1,0,0,0,47.19504,-1.5575,2022-05-23T14:41:50+00:00,OPEN,
1012,01012 - BORNE TEST NANTES 2,CREATION STATION TEST NANTES 2,7,6,0,47.195299,-1.557559,2023-03-20T06:57:40+00:00,OPEN,
15,015-ARISTIDE BRIAND,Place Aristide Briand,17,16,1,47.2171848232902,-1.56298679328837,2023-06-19T14:30:53+00:00,OPEN,
75,075-LAMORICIÈRE,"14 bis, rue Lamoricière - Place Beaumanoir",15,12,3,47.212308958847,-1.57136936022191,2023-06-19T14:30:07+00:00,OPEN,
50,050-CHÂTEAU,"7, rue des Etats",16,15,1,47.2151496951626,-1.55022624256337,2023-06-19T14:29:39+00:00,OPEN,
35,035-JEAN V,Rue Pierre Louis Athénas,15,14,0,47.2123685630664,-1.56497287562598,2023-06-19T14:30:08+00:00,OPEN,
114,114-ATOUTSUD,Angle rue de l'Abbé Grégoire - avenue Maréchal de Tassigny - REZÉ,25,11,11,47.194493,-1.570365,2023-06-19T14:29:32+00:00,OPEN,30 - 36 - 97 - LS
89,089-SAINT-AIGNAN,"65, boulevard Saint-Aignan",14,8,6,47.2074386375471,-1.57868926431099,2023-06-19T14:28:50+00:00,OPEN,C1
103,103-GRUE JAUNE,Grue Jaune - Face au mail des Chantiers,21,12,9,47.204879,-1.569191,2023-06-19T14:27:25+00:00,OPEN,
18,018-VIARME,"23, place Viarme",14,14,0,47.2214293389855,-1.56330836686976,2023-06-19T14:28:12+00:00,OPEN,3
57,057-GAËTAN RONDEAU,"20, rue Gaëtan Rondeau",20,14,5,47.2053961321791,-1.53758186300399,2023-06-19T14:27:44+00:00,OPEN,
73,073-SARRADIN,"4, place Emile Sarradin",13,2,11,47.2208824330189,-1.57043859807393,2023-06-19T14:28:02+00:00,OPEN,26 - 54
99,099-ST JACQUES,Rue Saint Jacques,15,3,12,47.1958989090141,-1.5365406634647,2023-06-19T14:28:45+00:00,OPEN,
74,074-CANCLAUX,"8, place Canclaux",15,12,3,47.2143336608893,-1.57492461719297,2023-06-19T14:34:44+00:00,OPEN,23 - C1 - C3
113,113-MAIRIE DE REZÉ,Place Jean-Baptiste Daviais - REZÉ,21,11,9,47.191117,-1.569362,2023-06-19T14:33:39+00:00,OPEN,30 - 97 - LS
34,034-MÉDIATHÈQUE,"24, quai de la Fosse",25,16,8,47.2108869258159,-1.56174490565258,2023-06-19T14:34:33+00:00,OPEN,1 - 11 - LO
20,020-BOUFFAY,"7, allée du Port Maillard - Cours Franklin Roosevelt",15,13,2,47.214301,-1.552782,2023-06-19T14:34:19+00:00,OPEN,1
81,081-MANGIN,"Devant le 8, place Mangin",14,7,7,47.2009555172397,-1.54550725123162,2023-06-19T14:34:22+00:00,OPEN,2 - 26 - 3 - LC
59,059-STADE SAUPIN,"35, quai de Malakoff",24,17,7,47.213682,-1.540181,2023-06-19T14:34:47+00:00,OPEN,
8,008-BOUCHERIE,"4, rue de la Boucherie",24,17,5,47.2162008925882,-1.55711168019757,2023-06-19T14:34:10+00:00,OPEN,11 - 2 - 23 - C1 - C2 - C6 - LC - LN - LO
93,093-FACULTÉS,A l'angle route de la Jonelière -  Boulevard Guy Mollet,40,20,20,47.2462980684235,-1.5553090111073,2023-06-19T14:34:44+00:00,OPEN,2 - 75 - LC - LN
44,044-PALAIS DE JUSTICE,"19, quai François Mitterand - 1, rue Olympe de Gouges",31,11,20,47.2083172884415,-1.5611730779894,2023-06-19T14:33:24+00:00,OPEN,
82,082-SÉBILLEAU,"120, rue Dr Jules Sébilleau",16,3,13,47.2067575123084,-1.53311824492362,2023-06-19T14:34:59+00:00,OPEN,26 - 5 - LS
123,123-TRARIEUX,"3, place Gabriel Trarieux",20,9,11,47.225957,-1.522334,2023-06-19T14:31:31+00:00,OPEN,10 - 12 - 137 - 147 - 157 - 87
115,115-TRENTEMOULT,"Face 11, quai Marcel Boissard - Trentemoult - REZÉ",26,17,9,47.195308,-1.581806,2023-06-19T14:32:05+00:00,OPEN,N1
2,002-HÔTEL DE VILLE,"29, rue de Strasbourg",20,17,3,47.2185718130915,-1.55348429039295,2023-06-19T14:36:58+00:00,OPEN,1
2,002-HÔTEL DE VILLE,"29, rue de Strasbourg",20,17,3,47.2185718130915,-1.55348429039295,2023-06-19T14:36:58+00:00,OPEN,
62,062-GARE DE NANTES NORD 2,22-23 boulevard de Stalingrad,40,37,3,47.218103,-1.541751,2023-06-19T14:35:47+00:00,OPEN,
47,047-MARTYRS NANTAIS,"1, boulevard des Martyrs Nantais de la Résistance",27,3,24,47.206933,-1.548169,2023-06-19T14:35:23+00:00,OPEN,2 - 3 - LC
102,102-GARE DE PONT ROUSSEAU,Rue de la Gare - REZÉ,20,14,4,47.19316,-1.549212,2023-06-19T14:37:06+00:00,OPEN,2
110,110-AUDITORIUM,"1, avenue de Bretagne - REZÉ",20,9,11,47.185402,-1.554025,2023-06-19T14:35:35+00:00,OPEN,2 - 3 - 38
7,007-BARILLERIE,"2, allée Penthièvre",30,25,5,47.2153313580104,-1.55612612597517,2023-06-19T14:36:25+00:00,OPEN,2 - 3
