stop_id,stop_name,stop_lat,stop_lon,ligne
BCGA,Bd Charles Gautier,47.22282517,-1.60702642,"[{'numLigne': '59'}, {'numLigne': 'C3'}]"
BCHE,Basse Chênaie,47.24117164,-1.50919095,"[{'numLigne': '12'}, {'numLigne': '127'}, {'numLigne': '137'}, {'numLigne': '87'}, {'numLigne': 'C7'}]"
BCNY,Bas-Chantenay,47.19821371,-1.58922286,"[{'numLigne': '10'}, {'numLigne': '81'}, {'numLigne': 'C1'}, {'numLigne': 'C20'}, {'numLigne': 'LO'}, {'numLigne': 'N2'}]"
BCOI,Branchoire,47.21799656,-1.60336553,"[{'numLigne': '11'}, {'numLigne': '23'}, {'numLigne': 'C20'}, {'numLigne': 'LO'}]"
BCTT,Blanchet,47.17130941,-1.54326782,"[{'numLigne': '104'}, {'numLigne': 'C4'}]"
BDAN,Bd des Anglais,47.22671207,-1.58285255,"[{'numLigne': '10'}, {'numLigne': '54'}]"
BDEL,Baudelaire,47.23394462,-1.59263911,"[{'numLigne': '59'}, {'numLigne': '89'}]"
BDGL,Bodiguel,47.19847811,-1.65492143,[{'numLigne': 'NBI'}]
BDIN,Bodinière,47.21000731,-1.64190242,"[{'numLigne': '81'}, {'numLigne': '91'}]"
BDLA,Bout des Landes,47.26744242,-1.5822668,[{'numLigne': '59'}]
BDNN,Bourdonnais,47.20638013,-1.57951294,"[{'numLigne': '10'}, {'numLigne': 'C1'}]"
BDOU,Bd de Doulon,47.22469671,-1.51977291,"[{'numLigne': '1'}, {'numLigne': '10'}, {'numLigne': '1B'}, {'numLigne': 'C3'}]"
BDPA,Bout des Pavés,47.25287837,-1.57617252,"[{'numLigne': '109'}, {'numLigne': '126'}, {'numLigne': '59'}, {'numLigne': '86'}, {'numLigne': '96'}, {'numLigne': 'C2'}, {'numLigne': 'C20'}]"
BDRI,Bourderies,47.20663194,-1.59592025,[{'numLigne': '11'}]
BDSP,Bd des Sports,47.16559974,-1.46876821,"[{'numLigne': '47'}, {'numLigne': '97'}]"
BEDR,Bel Endroit,47.15470661,-1.63396536,[{'numLigne': '88'}]
BEGE,Beauger,47.23420845,-1.5529879,"[{'numLigne': '10'}, {'numLigne': '23'}]"
BEHI,Béhinière,47.19701789,-1.79093353,[{'numLigne': '128'}]
BEIL,Beillevaire,47.24938735,-1.60726607,"[{'numLigne': '129'}, {'numLigne': '139'}, {'numLigne': '169'}, {'numLigne': '179'}, {'numLigne': '189'}, {'numLigne': '50'}, {'numLigne': '69'}, {'numLigne': '89'}]"
DPBL,Bêle,47.26472488,-1.51048865,[{'numLigne': '95'}]
BEMZ,Belges-Montbazon,47.23461282,-1.540984,"[{'numLigne': '10'}, {'numLigne': 'C6'}]"
BENA,Beaulieu,47.20411813,-1.53718842,"[{'numLigne': '26'}, {'numLigne': '4'}, {'numLigne': 'LS'}]"
BEOC,Belloc,47.20374088,-1.61460707,"[{'numLigne': '131'}, {'numLigne': '40'}, {'numLigne': 'C20'}]"
BESS,Bessonneau,47.2146289,-1.71349968,"[{'numLigne': '101'}, {'numLigne': '131'}, {'numLigne': '71'}]"
BETO,Belle Etoile,47.28018099,-1.45165075,[{'numLigne': '77'}]
BEVA,Beauvaiserie,47.13617533,-1.65410801,[{'numLigne': '98'}]
BGAR,Bonne Garde,47.19702208,-1.53125706,"[{'numLigne': '4'}, {'numLigne': 'LS'}]"
BGCY,Beaugency,47.20379533,-1.49024992,"[{'numLigne': '122'}, {'numLigne': '152'}, {'numLigne': 'C9'}]"
BGLA,Basse-Goulaine,47.21036202,-1.46600404,"[{'numLigne': '162'}, {'numLigne': '60'}, {'numLigne': 'C9'}]"
BGNN,Bourgonnière,47.20665817,-1.65539946,"[{'numLigne': '50'}, {'numLigne': '81'}]"
BGOG,Bourgogne,47.24658562,-1.58907096,"[{'numLigne': '109'}, {'numLigne': '79'}]"
BGRI,Bougrière,47.2551146,-1.47170041,"[{'numLigne': '107'}, {'numLigne': '117'}, {'numLigne': '127'}, {'numLigne': '137'}, {'numLigne': '147'}, {'numLigne': '157'}, {'numLigne': '87'}, {'numLigne': 'C7'}]"
BGSH,Bergerie,47.23794964,-1.62824352,[{'numLigne': '50'}]
BGTT,Bergeronnettes,47.23935271,-1.60044248,"[{'numLigne': '54'}, {'numLigne': '59'}]"
BGUT,Louis Breguet,47.27205303,-1.46602672,[{'numLigne': '77'}]
BGVI,Bougainville,47.19894579,-1.58359414,"[{'numLigne': '81'}, {'numLigne': 'C20'}, {'numLigne': 'LO'}]"
BHAR,Bois Hardy,47.19827606,-1.6005922,"[{'numLigne': '81'}, {'numLigne': 'C20'}]"
BHLR,Basse Hillière,47.28666678,-1.42683097,[{'numLigne': '135'}]
BIAN,Aristide Briand,47.29640065,-1.49503045,"[{'numLigne': '75'}, {'numLigne': '85'}, {'numLigne': '95'}]"
BIEE,Belle Île,47.22439959,-1.73275085,[{'numLigne': '91'}]
